auxiliary/dos/http/cable_haunt_websocket_dos                             2020-01-07       normal     No     "Cablehaunt" Cable Modem WebSocket DoS
auxiliary/admin/2wire/xslt_password_reset                                2007-08-15       normal     No     2Wire Cross-Site Request Forgery Password Reset Vulnerability
auxiliary/dos/http/3com_superstack_switch                                2004-06-24       normal     No     3Com SuperStack Switch Denial of Service
auxiliary/dos/scada/igss9_dataserver                                     2011-12-20       normal     No     7-Technologies IGSS 9 IGSSdataServer.exe DoS
auxiliary/scanner/http/a10networks_ax_directory_traversal                2014-01-28       normal     No     A10 Networks AX Loadbalancer Directory Traversal
auxiliary/scanner/snmp/aix_version                                                        normal     No     AIX SNMP Scanner Auxiliary Module
auxiliary/spoof/arp/arp_poisoning                                        1999-12-22       normal     No     ARP Spoof
auxiliary/scanner/discovery/arp_sweep                                                     normal     No     ARP Sweep Local Network Discovery
auxiliary/scanner/snmp/sbg6580_enum                                                       normal     No     ARRIS / Motorola SBG6580 Cable Modem SNMP Enumeration Module
auxiliary/gather/avtech744_dvr_accounts                                                   normal     No     AVTECH 744 DVR Account Information Retrieval
auxiliary/scanner/http/wp_abandoned_cart_sqli                            2020-11-05       normal     No     Abandoned Cart for WooCommerce SQLi Scanner
auxiliary/scanner/http/accellion_fta_statecode_file_read                 2015-07-10       normal     No     Accellion FTA 'statecode' Cookie Arbitrary File Read
auxiliary/admin/dcerpc/cve_2022_26923_certifried                                          normal     No     Active Directory Certificate Services (ADCS) privilege escalation (Certifried)
auxiliary/scanner/http/adobe_xml_inject                                                   normal     No     Adobe XML External Entity Injection
auxiliary/gather/advantech_webaccess_creds                               2017-01-21       normal     No     Advantech WebAccess 8.1 Post Authentication Credential Collector
auxiliary/admin/scada/advantech_webaccess_dbvisitor_sqli                 2014-04-08       normal     Yes    Advantech WebAccess DBVisitor.dll ChartThemeConfig SQL Injection
auxiliary/scanner/http/advantech_webaccess_login                                          normal     No     Advantech WebAccess Login
auxiliary/gather/alienvault_iso27001_sqli                                2014-03-30       normal     No     AlienVault Authenticated SQL Injection Arbitrary File Read
auxiliary/gather/alienvault_newpolicyform_sqli                           2014-05-09       normal     No     AlienVault Authenticated SQL Injection Arbitrary File Read
auxiliary/admin/http/allegro_rompager_auth_bypass                        2014-12-17       normal     No     Allegro Software RomPager 'Misfortune Cookie' (CVE-2014-9222) Authentication Bypass
auxiliary/scanner/http/allegro_rompager_misfortune_cookie                2014-12-17       normal     Yes    Allegro Software RomPager 'Misfortune Cookie' (CVE-2014-9222) Scanner
auxiliary/admin/scada/multi_cip_command                                  2012-01-19       normal     No     Allen-Bradley/Rockwell Automation EtherNet/IP CIP Commands
auxiliary/admin/firetv/firetv_youtube                                                     normal     No     Amazon Fire TV YouTube Remote Control
auxiliary/cloud/aws/enum_ec2                                                              normal     No     Amazon Web Services EC2 instance enumeration
auxiliary/cloud/aws/enum_iam                                                              normal     No     Amazon Web Services IAM credential enumeration
auxiliary/cloud/aws/enum_s3                                                               normal     No     Amazon Web Services S3 instance enumeration
auxiliary/gather/android_browser_new_tab_cookie_theft                                     normal     No     Android Browser "Open in New Tab" Cookie Theft
auxiliary/gather/android_browser_file_theft                                               normal     No     Android Browser File Theft
auxiliary/admin/android/google_play_store_uxss_xframe_rce                                 normal     No     Android Browser RCE Through Google Play Store XFO
auxiliary/gather/android_htmlfileprovider                                                 normal     No     Android Content Provider File Disclosure
auxiliary/server/android_mercury_parseuri                                                 normal     No     Android Mercury Browser Intent URI Scheme and Directory Traversal Vulnerability
auxiliary/server/android_browsable_msf_launch                                             normal     No     Android Meterpreter Browsable Launcher
auxiliary/gather/android_object_tag_webview_uxss                         2014-10-04       normal     No     Android Open Source Platform (AOSP) Browser UXSS
auxiliary/gather/android_stock_browser_uxss                                               normal     No     Android Open Source Platform (AOSP) Browser UXSS
auxiliary/dos/android/android_stock_browser_iframe                       2012-12-01       normal     No     Android Stock Browser Iframe DOS
auxiliary/scanner/ftp/anonymous                                                           normal     No     Anonymous FTP Access Detection
auxiliary/scanner/http/apache_userdir_enum                                                normal     No     Apache "mod_userdir" User Enumeration
auxiliary/scanner/http/apache_normalize_path                             2021-05-10       normal     No     Apache 2.4.49/2.4.50 Traversal RCE scanner
auxiliary/scanner/http/apache_activemq_traversal                                          normal     No     Apache ActiveMQ Directory Traversal
auxiliary/scanner/http/apache_activemq_source_disclosure                                  normal     No     Apache ActiveMQ JSP Files Source Disclosure
auxiliary/scanner/http/axis_login                                                         normal     No     Apache Axis2 Brute Force Utility
auxiliary/scanner/http/axis_local_file_include                                            normal     No     Apache Axis2 v1.4.1 Local File Inclusion
auxiliary/dos/http/apache_commons_fileupload_dos                         2014-02-06       normal     No     Apache Commons FileUpload and Apache Tomcat DoS
auxiliary/scanner/http/apache_flink_jobmanager_traversal                 2021-01-05       normal     Yes    Apache Flink JobManager Traversal
auxiliary/scanner/http/mod_negotiation_brute                                              normal     No     Apache HTTPD mod_negotiation Filename Bruter
auxiliary/scanner/http/mod_negotiation_scanner                                            normal     No     Apache HTTPD mod_negotiation Scanner
auxiliary/scanner/ssh/apache_karaf_command_execution                     2016-02-09       normal     No     Apache Karaf Default Credentials Command Execution
auxiliary/scanner/ssh/karaf_login                                                         normal     No     Apache Karaf Login Utility
auxiliary/scanner/http/apache_optionsbleed                               2017-09-18       normal     No     Apache Optionsbleed Scanner
auxiliary/dos/http/apache_range_dos                                      2011-08-19       normal     No     Apache Range Header DoS (Apache Killer)
auxiliary/gather/apache_rave_creds                                                        normal     No     Apache Rave User Information Disclosure
auxiliary/scanner/http/rewrite_proxy_bypass                                               normal     No     Apache Reverse Proxy Bypass Vulnerability Scanner
auxiliary/gather/cve_2021_27850_apache_tapestry_hmac_key                 2021-04-15       normal     Yes    Apache Tapestry HMAC secret key leak
auxiliary/admin/http/tomcat_ghostcat                                     2020-02-20       normal     Yes    Apache Tomcat AJP File Read
auxiliary/dos/http/apache_tomcat_transfer_encoding                       2010-07-09       normal     No     Apache Tomcat Transfer-Encoding Information Disclosure and DoS
auxiliary/scanner/http/tomcat_enum                                                        normal     No     Apache Tomcat User Enumeration
auxiliary/gather/zookeeper_info_disclosure                               2020-10-14       normal     No     Apache ZooKeeper Information Disclosure
auxiliary/scanner/http/apache_mod_cgi_bash_env                           2014-09-24       normal     Yes    Apache mod_cgi Bash Environment Variable Injection (Shellshock) Scanner
auxiliary/dos/http/apache_mod_isapi                                      2010-03-05       normal     No     Apache mod_isapi Dangling Pointer
auxiliary/dos/windows/appian/appian_bpm                                  2007-12-17       normal     No     Appian Enterprise Business Suite 5.6 SP1 DoS
auxiliary/scanner/acpp/login                                                              normal     No     Apple Airport ACPP Authentication Scanner
auxiliary/admin/vxworks/apple_airport_extreme_password                                    normal     No     Apple Airport Extreme Password Extraction (WDBRPC)
auxiliary/scanner/afp/afp_server_info                                                     normal     No     Apple Filing Protocol Info Enumerator
auxiliary/scanner/afp/afp_login                                                           normal     No     Apple Filing Protocol Login Utility
auxiliary/gather/apple_safari_ftp_url_cookie_theft                       2015-04-08       normal     No     Apple OSX/iOS/Windows Safari Non-HTTPOnly Cookie Theft
auxiliary/scanner/vnc/ard_root_pw                                                         normal     No     Apple Remote Desktop Root Vulnerability
