payload/aix/ppc/shell_bind_tcp                                                              normal     No     AIX Command Shell, Bind TCP Inline
payload/aix/ppc/shell_find_port                                                             normal     No     AIX Command Shell, Find Port Inline
payload/aix/ppc/shell_reverse_tcp                                                           normal     No     AIX Command Shell, Reverse TCP Inline
payload/aix/ppc/shell_interact                                                              normal     No     AIX execve Shell for inetd
payload/android/meterpreter_reverse_http                                                    normal     No     Android Meterpreter Shell, Reverse HTTP Inline
payload/android/meterpreter_reverse_https                                                   normal     No     Android Meterpreter Shell, Reverse HTTPS Inline
payload/android/meterpreter_reverse_tcp                                                     normal     No     Android Meterpreter Shell, Reverse TCP Inline
payload/android/meterpreter/reverse_http                                                    normal     No     Android Meterpreter, Android Reverse HTTP Stager
payload/android/meterpreter/reverse_https                                                   normal     No     Android Meterpreter, Android Reverse HTTPS Stager
payload/android/meterpreter/reverse_tcp                                                     normal     No     Android Meterpreter, Android Reverse TCP Stager
payload/osx/armle/shell_bind_tcp                                                            normal     No     Apple iOS Command Shell, Bind TCP Inline
payload/osx/armle/shell_reverse_tcp                                                         normal     No     Apple iOS Command Shell, Reverse TCP Inline
payload/apple_ios/aarch64/shell_reverse_tcp                                                 normal     No     Apple iOS aarch64 Command Shell, Reverse TCP Inline
payload/osx/armle/vibrate                                                                   normal     No     Apple iOS iPhone Vibrate
payload/apple_ios/aarch64/meterpreter_reverse_http                                          normal     No     Apple_iOS Meterpreter, Reverse HTTP Inline
payload/apple_ios/armle/meterpreter_reverse_http                                            normal     No     Apple_iOS Meterpreter, Reverse HTTP Inline
payload/apple_ios/aarch64/meterpreter_reverse_https                                         normal     No     Apple_iOS Meterpreter, Reverse HTTPS Inline
payload/apple_ios/armle/meterpreter_reverse_https                                           normal     No     Apple_iOS Meterpreter, Reverse HTTPS Inline
payload/apple_ios/aarch64/meterpreter_reverse_tcp                                           normal     No     Apple_iOS Meterpreter, Reverse TCP Inline
payload/apple_ios/armle/meterpreter_reverse_tcp                                             normal     No     Apple_iOS Meterpreter, Reverse TCP Inline
payload/multi/meterpreter/reverse_http                                                      normal     No     Architecture-Independent Meterpreter Stage, Reverse HTTP Stager (Multiple Architectures)
payload/multi/meterpreter/reverse_https                                                     normal     No     Architecture-Independent Meterpreter Stage, Reverse HTTPS Stager (Multiple Architectures)
payload/bsd/sparc/shell_bind_tcp                                                            normal     No     BSD Command Shell, Bind TCP Inline
payload/bsd/x86/shell_bind_tcp                                                              normal     No     BSD Command Shell, Bind TCP Inline
payload/bsd/x86/shell_bind_tcp_ipv6                                                         normal     No     BSD Command Shell, Bind TCP Inline (IPv6)
payload/bsd/x86/shell/bind_tcp                                                              normal     No     BSD Command Shell, Bind TCP Stager
payload/bsd/x86/shell/bind_ipv6_tcp                                                         normal     No     BSD Command Shell, Bind TCP Stager (IPv6)
payload/bsd/x86/shell_find_port                                                             normal     No     BSD Command Shell, Find Port Inline
payload/bsd/x86/shell_find_tag                                                              normal     No     BSD Command Shell, Find Tag Inline
payload/bsd/x86/shell/find_tag                                                              normal     No     BSD Command Shell, Find Tag Stager
payload/bsd/sparc/shell_reverse_tcp                                                         normal     No     BSD Command Shell, Reverse TCP Inline
payload/bsd/vax/shell_reverse_tcp                                                           normal     No     BSD Command Shell, Reverse TCP Inline
payload/bsd/x86/shell_reverse_tcp                                                           normal     No     BSD Command Shell, Reverse TCP Inline
payload/bsd/x86/shell_reverse_tcp_ipv6                                                      normal     No     BSD Command Shell, Reverse TCP Inline (IPv6)
payload/bsd/x86/shell/reverse_tcp                                                           normal     No     BSD Command Shell, Reverse TCP Stager
payload/bsd/x86/shell/reverse_ipv6_tcp                                                      normal     No     BSD Command Shell, Reverse TCP Stager (IPv6)
payload/bsd/x86/exec                                                                        normal     No     BSD Execute Command
payload/bsd/x64/shell_bind_tcp_small                                                        normal     No     BSD x64 Command Shell, Bind TCP Inline
payload/bsd/x64/shell_bind_ipv6_tcp                                                         normal     No     BSD x64 Command Shell, Bind TCP Inline (IPv6)
payload/bsd/x64/shell_reverse_tcp_small                                                     normal     No     BSD x64 Command Shell, Reverse TCP Inline
payload/bsd/x64/shell_reverse_ipv6_tcp                                                      normal     No     BSD x64 Command Shell, Reverse TCP Inline (IPv6)
payload/bsd/x64/exec                                                                        normal     No     BSD x64 Execute Command
payload/bsd/x64/shell_bind_tcp                                                              normal     No     BSD x64 Shell Bind TCP
payload/bsd/x64/shell_reverse_tcp                                                           normal     No     BSD x64 Shell Reverse TCP
payload/bsdi/x86/shell_bind_tcp                                                             normal     No     BSDi Command Shell, Bind TCP Inline
payload/bsdi/x86/shell/bind_tcp                                                             normal     No     BSDi Command Shell, Bind TCP Stager
payload/bsdi/x86/shell_find_port                                                            normal     No     BSDi Command Shell, Find Port Inline
payload/bsdi/x86/shell_reverse_tcp                                                          normal     No     BSDi Command Shell, Reverse TCP Inline
payload/bsdi/x86/shell/reverse_tcp                                                          normal     No     BSDi Command Shell, Reverse TCP Stager
payload/android/shell/reverse_http                                                          normal     No     Command Shell, Android Reverse HTTP Stager
payload/android/shell/reverse_https                                                         normal     No     Command Shell, Android Reverse HTTPS Stager
payload/android/shell/reverse_tcp                                                           normal     No     Command Shell, Android Reverse TCP Stager
payload/firefox/shell_bind_tcp                                                              normal     No     Command Shell, Bind TCP (via Firefox XPCOM script)
payload/nodejs/shell_bind_tcp                                                               normal     No     Command Shell, Bind TCP (via nodejs)
payload/python/shell_bind_tcp                                                               normal     No     Command Shell, Bind TCP (via python)
payload/java/shell/bind_tcp                                                                 normal     No     Command Shell, Java Bind TCP Stager
payload/java/shell/reverse_tcp                                                              normal     No     Command Shell, Java Reverse TCP Stager
payload/firefox/shell_reverse_tcp                                                           normal     No     Command Shell, Reverse TCP (via Firefox XPCOM script)
payload/nodejs/shell_reverse_tcp                                                            normal     No     Command Shell, Reverse TCP (via nodejs)
payload/python/shell_reverse_tcp                                                            normal     No     Command Shell, Reverse TCP (via python)
payload/nodejs/shell_reverse_tcp_ssl                                                        normal     No     Command Shell, Reverse TCP SSL (via nodejs)
payload/python/shell_reverse_tcp_ssl                                                        normal     No     Command Shell, Reverse TCP SSL (via python)
payload/python/shell_reverse_udp                                                            normal     No     Command Shell, Reverse UDP (via python)
payload/generic/custom                                                                      normal     No     Custom Payload
payload/windows/dns_txt_query_exec                                                          normal     No     DNS TXT Record Payload Download and Execution
payload/firefox/exec                                                                        normal     No     Firefox XPCOM Execute Command
payload/bsd/x86/metsvc_bind_tcp                                                             normal     No     FreeBSD Meterpreter Service, Bind TCP
payload/bsd/x86/metsvc_reverse_tcp                                                          normal     No     FreeBSD Meterpreter Service, Reverse TCP Inline
payload/generic/shell_bind_tcp                                                              normal     No     Generic Command Shell, Bind TCP Inline
payload/generic/shell_reverse_tcp                                                           normal     No     Generic Command Shell, Reverse TCP Inline
payload/cmd/mainframe/generic_jcl                                                           normal     No     Generic JCL Test for Mainframe Exploits
payload/generic/debug_trap                                                                  normal     No     Generic x86 Debug Trap
payload/generic/tight_loop                                                                  normal     No     Generic x86 Tight Loop
payload/generic/ssh/interact                                                                normal     No     Interact with Established SSH Connection
payload/cmd/mainframe/apf_privesc_jcl                                                       normal     No     JCL to Escalate Privileges
payload/java/shell_reverse_tcp                                                              normal     No     Java Command Shell, Reverse TCP Inline
exploit/multi/misc/java_jdwp_debugger                                      2010-03-12       good       Yes    Java Debug Wire Protocol Remote Code Execution
payload/java/jsp_shell_bind_tcp                                                             normal     No     Java JSP Command Shell, Bind TCP Inline
payload/java/jsp_shell_reverse_tcp                                                          normal     No     Java JSP Command Shell, Reverse TCP Inline
payload/java/meterpreter/bind_tcp                                                           normal     No     Java Meterpreter, Java Bind TCP Stager
payload/java/meterpreter/reverse_http                                                       normal     No     Java Meterpreter, Java Reverse HTTP Stager
payload/java/meterpreter/reverse_https                                                      normal     No     Java Meterpreter, Java Reverse HTTPS Stager
payload/java/meterpreter/reverse_tcp                                                        normal     No     Java Meterpreter, Java Reverse TCP Stager
payload/linux/armbe/shell_bind_tcp                                                          normal     No     Linux ARM Big Endian Command Shell, Bind TCP Inline
payload/linux/armle/adduser                                                                 normal     No     Linux Add User
payload/linux/x86/adduser                                                                   normal     No     Linux Add User
payload/linux/x86/chmod                                                                     normal     No     Linux Chmod
payload/linux/x86/shell/bind_ipv6_tcp                                                       normal     No     Linux Command Shell, Bind IPv6 TCP Stager (Linux x86)
payload/linux/x86/shell/bind_ipv6_tcp_uuid                                                  normal     No     Linux Command Shell, Bind IPv6 TCP Stager with UUID Support (Linux x86)
payload/linux/mipsbe/shell_bind_tcp                                                         normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/mipsle/shell_bind_tcp                                                         normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/ppc/shell_bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/ppc64/shell_bind_tcp                                                          normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/x64/shell_bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/x86/shell_bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Inline
payload/linux/x86/shell_bind_ipv6_tcp                                                       normal     No     Linux Command Shell, Bind TCP Inline (IPv6)
payload/linux/x64/shell_bind_tcp_random_port                                                normal     No     Linux Command Shell, Bind TCP Random Port Inline
payload/linux/x86/shell_bind_tcp_random_port                                                normal     No     Linux Command Shell, Bind TCP Random Port Inline
payload/linux/x64/shell/bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Stager
payload/linux/x86/shell/bind_nonx_tcp                                                       normal     No     Linux Command Shell, Bind TCP Stager
payload/linux/x86/shell/bind_tcp                                                            normal     No     Linux Command Shell, Bind TCP Stager (Linux x86)
