post/windows/gather/ad_to_sqlite                                                                    normal     No     AD Computer, Group and Recursive User Membership to Local SQLite DB
post/aix/hashdump                                                                                   normal     No     AIX Gather Dump Password Hashes
auxiliary/scanner/http/accellion_fta_statecode_file_read                           2015-07-10       normal     No     Accellion FTA 'statecode' Cookie Arbitrary File Read
exploit/windows/browser/adobe_flash_otf_font                                       2012-08-09       normal     No     Adobe Flash Player 11.3 Kern Table Parsing Integer Overflow
exploit/windows/browser/adobe_flash_rtmp                                           2012-05-04       normal     No     Adobe Flash Player Object Type Confusion
exploit/linux/http/advantech_switch_bash_env_exec                                  2015-12-01       excellent  Yes    Advantech Switch Bash Environment Variable Code Injection (Shellshock)
exploit/windows/http/advantech_iview_networkservlet_cmd_inject                     2022-06-28       excellent  Yes    Advantech iView NetworkServlet Command Injection
exploit/windows/http/advantech_iview_unauth_rce                                    2021-02-09       excellent  Yes    Advantech iView Unauthenticated Remote Code Execution
post/windows/gather/credentials/aim                                                                 normal     No     Aim credential gatherer
auxiliary/admin/android/google_play_store_uxss_xframe_rce                                           normal     No     Android Browser RCE Through Google Play Store XFO
post/android/gather/hashdump                                                                        normal     No     Android Gather Dump Password Hashes for Android Systems
post/android/manage/remove_lock_root                                                                normal     No     Android Root Remove Device Locks (root)
post/android/capture/screen                                                                         normal     No     Android Screen Capture
post/android/manage/remove_lock                                                    2013-10-11       normal     No     Android Settings Remove Device Locks (4.0-4.3)
exploit/multi/http/apache_jetspeed_file_upload                                     2016-03-06       manual     No     Apache Jetspeed Arbitrary File Upload
auxiliary/admin/vxworks/apple_airport_extreme_password                                              normal     No     Apple Airport Extreme Password Extraction (WDBRPC)
post/windows/manage/archmigrate                                                                     normal     No     Architecture Migrate
auxiliary/admin/http/arris_motorola_surfboard_backdoor_xss                         2015-04-08       normal     No     Arris / Motorola Surfboard SBG6580 Web Interface Takeover
auxiliary/scanner/snmp/arris_dg950                                                                  normal     No     Arris DG950A Cable Modem Wifi Enumeration
exploit/linux/http/artica_proxy_auth_bypass_service_cmds_peform_command_injection  2020-08-09       excellent  Yes    Artica proxy 4.30.000000 Auth Bypass service-cmds-peform Command Injection
auxiliary/parser/unattend                                                                           normal     No     Auxilliary Parser Windows Unattend Passwords
post/windows/gather/avast_memory_dump                                                               normal     No     Avast AV Memory Dumping Utility
post/bsd/gather/hashdump                                                                            normal     No     BSD Dump Password Hashes
exploit/linux/http/bitbucket_git_cmd_injection                                     2022-08-24       excellent  Yes    Bitbucket Git Command Injection
post/windows/gather/bitlocker_fvek                                                                  normal     No     Bitlocker Master Key (FVEK) Extraction
post/windows/gather/bloodhound                                                                      normal     No     BloodHound Ingestor
post/windows/gather/get_bookmarks                                                                   normal     No     Bookmarked Sites Retriever
post/networking/gather/enum_brocade                                                                 normal     No     Brocade Gather Device General Information
auxiliary/scanner/snmp/brocade_enumhash                                                             normal     No     Brocade Password Hash Enumeration
post/multi/manage/fileshare                                                                         normal     No     Browse the session filesystem in a Web Browser
post/hardware/rftransceiver/rfpwnon                                                                 normal     No     Brute Force AM/OOK (ie: Garage Doors)
post/linux/busybox/set_dmz                                                                          normal     No     BusyBox DMZ Configuration
post/linux/busybox/set_dns                                                                          normal     No     BusyBox DNS Configuration
post/linux/busybox/wget_exec                                                                        normal     No     BusyBox Download and Execute
post/linux/busybox/enum_connections                                                                 normal     No     BusyBox Enumerate Connections
post/linux/busybox/enum_hosts                                                                       normal     No     BusyBox Enumerate Host Names
post/linux/busybox/jailbreak                                                                        normal     No     BusyBox Jailbreak
post/linux/busybox/ping_net                                                                         normal     No     BusyBox Ping Network Enumeration
post/linux/busybox/smb_share_root                                                                   normal     No     BusyBox SMB Sharing
post/osx/escalate/tccbypass                                                                         normal     Yes    Bypass the macOS TCC Framework
post/hardware/automotive/can_flood                                                                  normal     No     CAN Flood
post/multi/escalate/cups_root_file_read                                            2012-11-20       normal     No     CUPS 1.6.1 Root File Read
auxiliary/admin/http/cnpilot_r_cmd_exec                                                             normal     No     Cambium cnPilot r200/r201 Command Execution as 'root'
auxiliary/admin/http/cnpilot_r_fpt                                                                  normal     No     Cambium cnPilot r200/r201 File Path Traversal
auxiliary/scanner/http/cnpilot_r_web_login_loot                                                     normal     No     Cambium cnPilot r200/r201 Login Scanner and Config Dump
auxiliary/scanner/snmp/cnpilot_r_snmp_loot                                                          normal     No     Cambium cnPilot r200/r201 SNMP Enumeration
auxiliary/scanner/http/epmp1000_get_chart_cmd_exec                                                  normal     No     Cambium ePMP 1000 'get_chart' Command Injection (v3.1-3.5-RC7)
auxiliary/scanner/http/epmp1000_reset_pass                                                          normal     No     Cambium ePMP 1000 Account Password Reset
exploit/unix/http/epmp1000_get_chart_cmd_shell                                     2017-12-18       excellent  Yes    Cambium ePMP1000 'get_chart' Shell via Command Injection (v3.1-3.5-RC7)
post/hardware/automotive/pdt                                                                        normal     No     Check For and Prep the Pyrotechnic Devices (Airbags, Battery Clamps, etc.)
post/multi/gather/chrome_cookies                                                                    normal     No     Chrome Gather Cookies
post/windows/gather/credentials/chrome                                                              normal     No     Chrome credential gatherer
exploit/linux/http/cisco_asax_sfr_rce                                              2022-06-22       excellent  Yes    Cisco ASA-X with FirePOWER Services Authenticated Command Injection
post/networking/gather/enum_cisco                                                                   normal     No     Cisco Gather Device General Information
post/windows/gather/credentials/comodo                                                              normal     No     Comodo credential gatherer
post/windows/gather/credentials/coolnovo                                                            normal     No     Coolnovo credential gatherer
post/multi/escalate/aws_create_iam_user                                                             normal     No     Create an AWS IAM User
auxiliary/admin/vxworks/dlink_i2eye_autoanswer                                                      normal     No     D-Link i2eye Video Conference AutoAnswer (WDBRPC)
post/windows/gather/credentials/thycotic_secretserver_dump                         2022-08-15       manual     No     Delinea Thycotic Secret Server Dump
post/windows/manage/dell_memory_protect                                                             manual     No     Dell DBUtilDrv2.sys Memory Protection Modifier
post/hardware/automotive/diagnostic_state                                                           normal     No     Diagnostic State
post/multi/sap/smdagent_get_properties                                                              normal     No     Diagnostics Agent in Solution Manager, stores unencrypted credentials for Solution Manager server
post/windows/gather/credentials/digsby                                                              normal     No     Digsby credential gatherer
post/windows/manage/rollback_defender_signatures                                                    normal     No     Disable Windows Defender Signatures
post/android/gather/wireless_ap                                                                     normal     No     Displays wireless SSIDs and PSKs
post/hardware/automotive/ecu_hard_reset                                                             normal     No     ECU Hard Reset
exploit/linux/ssh/exagrid_known_privkey                                            2016-04-07       excellent  No     ExaGrid Known SSH Key and Default Password
post/windows/manage/execute_dotnet_assembly                                                         normal     No     Execute .net Assembly (x64 only)
exploit/linux/ssh/f5_bigip_known_privkey                                           2012-06-11       excellent  No     F5 BIG-IP SSH Private Key Exposure
exploit/linux/http/f5_icontrol_rpmspec_rce_cve_2022_41800                          2022-11-16       excellent  No     F5 BIG-IP iControl Authenticated RCE via RPM Creator
exploit/linux/http/f5_icontrol_soap_csrf_rce_cve_2022_41622                        2022-11-16       excellent  No     F5 BIG-IP iControl CSRF File Write SOAP API
exploit/linux/local/f5_create_user                                                 2022-11-16       normal     No     F5 Big-IP Create Admin User
post/linux/gather/f5_loot_mcp                                                      2022-11-16       normal     No     F5 Big-IP Gather Information from MCP Datastore
post/networking/gather/enum_f5                                                                      normal     No     F5 Gather Device General Information
post/windows/gather/forensics/fanny_bmp_check                                                       normal     No     FannyBMP or DementiaWheel Detection Registry Check
post/firefox/gather/cookies                                                        2014-03-26       normal     No     Firefox Gather Cookies from Privileged Javascript Shell
post/firefox/gather/history                                                        2014-04-11       normal     No     Firefox Gather History from Privileged Javascript Shell
post/firefox/gather/passwords                                                      2014-04-11       normal     No     Firefox Gather Passwords from Privileged Javascript Shell
exploit/multi/browser/firefox_proxy_prototype                                      2014-01-20       manual     No     Firefox Proxy Prototype Privileged Javascript Injection
post/firefox/manage/webcam_chat                                                    2014-05-13       normal     No     Firefox Webcam Chat on Privileged Javascript Shell
post/firefox/gather/xss                                                                             normal     No     Firefox XSS
post/windows/gather/credentials/flock                                                               normal     No     Flock credential gatherer
auxiliary/scanner/ssh/fortinet_backdoor                                            2016-01-09       normal     No     Fortinet SSH Backdoor Scanner
post/windows/manage/forward_pageant                                                                 normal     No     Forward SSH Agent Requests To Remote Pageant
auxiliary/server/wget_symlink_file_write                                           2014-10-27       normal     No     GNU Wget FTP Symlink Arbitrary Filesystem Access
post/windows/gather/credentials/gadugadu                                                            normal     No     Gadugadu credential gatherer
post/multi/gather/aws_ec2_instance_metadata                                                         normal     No     Gather AWS EC2 Instance Metadata
post/linux/gather/enum_commands                                                                     normal     No     Gather Available Shell Commands
post/multi/gather/dbeaver                                                                           normal     No     Gather Dbeaver Passwords
post/multi/gather/grub_creds                                                                        normal     No     Gather GRUB Password
post/multi/gather/minio_client                                                                      normal     No     Gather MinIO Client Key
post/multi/gather/tomcat_gather                                                                     normal     No     Gather Tomcat Credentials
post/linux/gather/ecryptfs_creds                                                                    normal     No     Gather eCryptfs Metadata
post/windows/gather/make_csv_orgchart                                                               normal     No     Generate CSV Organizational Chart Data Using Manager Information
post/multi/recon/multiport_egress_traffic                                                           normal     No     Generate TCP/UDP Outbound Traffic On Multiple Ports
exploit/multi/http/gestioip_exec                                                   2013-10-04       excellent  No     GestioIP Remote Command Execution
post/hardware/automotive/getvinfo                                                                   normal     No     Get the Vehicle Information Such as the VIN from the Target Module
post/linux/manage/geutebruck_post_exp                                                               normal     No     Geutebruck Camera Deface
post/osx/gather/gitignore                                                                           normal     No     Git Ignore Retriever
auxiliary/scanner/http/gitlab_graphql_user_enum                                    2022-02-25       normal     No     GitLab GraphQL API User Enumeration
post/linux/gather/gnome_keyring_dump                                                                normal     No     Gnome-Keyring Dump
exploit/windows/misc/hp_dataprotector_new_folder                                   2012-03-12       normal     No     HP Data Protector Create New Folder Buffer Overflow
exploit/windows/http/hp_sitescope_dns_tool                                         2015-10-09       good       No     HP SiteScope DNS Tool Command Injection
auxiliary/server/browser_autopwn2                                                  2015-07-05       normal     No     HTTP Client Automatic Exploiter 2 (Browser Autopwn)
post/linux/gather/haserl_read                                                                       normal     No     Haserl Arbitrary File Reader
exploit/linux/misc/hikvision_rtsp_bof                                              2014-11-19       normal     No     Hikvision DVR RTSP Request Remote Code Execution
exploit/windows/browser/honeywell_hscremotedeploy_exec                             2013-02-22       excellent  No     Honeywell HSC Remote Deployer ActiveX Remote Code Execution
exploit/windows/browser/clear_quest_cqole                                          2012-05-19       normal     No     IBM Rational ClearQuest CQOle Remote Code Execution
post/windows/gather/credentials/icq                                                                 normal     No     ICQ credential gatherer
post/linux/manage/iptables_removal                                                                  normal     No     IPTABLES rules removal
exploit/multi/http/ispconfig_php_exec                                              2013-10-30       excellent  No     ISPConfig Authenticated Arbitrary PHP Code Execution
post/windows/gather/credentials/ie                                                                  normal     No     Ie credential gatherer
post/windows/gather/credentials/incredimail                                                         normal     No     Incredimail credential gatherer
post/windows/manage/install_ssh                                                                     normal     No     Install OpenSSH for Windows
post/windows/manage/install_python                                                                  normal     No     Install Python for Windows
exploit/multi/fileformat/swagger_param_inject                                      2016-06-23       excellent  No     JSON Swagger CodeGen Parameter Injector
exploit/multi/browser/java_jre17_exec                                              2012-08-26       excellent  No     Java 7 Applet Remote Code Execution
exploit/multi/browser/java_atomicreferencearray                                    2012-02-14       excellent  No     Java AtomicReferenceArray Type Violation Vulnerability
post/multi/gather/jboss_gather                                                                      normal     No     Jboss Credential Collector
post/multi/gather/jenkins_gather                                                                    normal     No     Jenkins Credential Collector
exploit/unix/webapp/joomla_media_upload_exec                                       2013-08-01       excellent  Yes    Joomla Media Manager File Upload Vulnerability
post/networking/gather/enum_juniper                                                                 normal     No     Juniper Gather Device General Information
auxiliary/scanner/ssh/juniper_backdoor                                             2015-12-20       normal     No     Juniper SSH Backdoor Scanner
post/android/local/koffee                                                          2020-12-02       normal     No     KOFFEE - Kia OFFensivE Exploit
post/windows/gather/credentials/kakaotalk                                                           normal     No     KakaoTalk credential gatherer
post/windows/gather/credentials/kmeleon                                                             normal     No     Kmeleon credential gatherer
post/windows/gather/credentials/line                                                                normal     No     LINE credential gatherer
post/multi/gather/lastpass_creds                                                                    normal     No     LastPass Vault Decryptor
post/linux/gather/enum_containers                                                                   normal     No     Linux Container Enumeration
post/linux/dos/xen_420_dos                                                                          normal     No     Linux DoS Xen 4.2.0 2012-5525
post/linux/gather/enum_configs                                                                      normal     No     Linux Gather Configurations
post/linux/gather/checkcontainer                                                                    normal     No     Linux Gather Container Detection
post/linux/gather/hashdump                                                                          normal     No     Linux Gather Dump Password Hashes for Linux Systems
post/linux/gather/gnome_commander_creds                                                             normal     No     Linux Gather Gnome-Commander Creds
post/multi/gather/enum_hexchat                                                                      normal     No     Linux Gather HexChat/XChat Enumeration
post/linux/gather/manageengine_password_manager_creds                                               normal     No     Linux Gather ManageEngine Password Manager Pro Password Extractor
